#glass          vd      ve      b1              b2              b3              c1              c2              c3              nd      ne       dpgF
N-PSK53A        63.39   63.1    1.38121836E+00  1.96745645E-01  8.86089205E-01  7.06416337E-03  2.33251345E-02  9.74847345E+01  1.618   1.62033  0.0052
N-SF1           29.62   29.39   1.60865158E+00  2.37725916E-01  1.51530653E+00  1.19654879E-02  5.90589722E-02  1.35521676E+02  1.71736 1.72308  0.0097
N-SF10          28.53   28.31   1.62153902E+00  2.56287842E-01  1.64447552E+00  1.22241457E-02  5.95736775E-02  1.47468793E+02  1.72828 1.7343   0.0108
N-SF11          25.68   25.47   1.73759695E+00  3.13747346E-01  1.89878101E+00  1.31887070E-02  6.23068142E-02  1.55236290E+02  1.78472 1.79192  0.015
N-SF14          26.53   26.32   1.69022361E+00  2.88870052E-01  1.70451870E+00  1.30512113E-02  6.13691880E-02  1.49517689E+02  1.76182 1.76859  0.013
N-SF15          30.2    29.96   1.57055634E+00  2.18987094E-01  1.50824017E+00  1.16507014E-02  5.97856897E-02  1.32709339E+02  1.69892 1.70438  0.0108
N-SF2           33.82   33.56   1.47343127E+00  1.63681849E-01  1.36920899E+00  1.09019098E-02  5.85683687E-02  1.27404933E+02  1.64769 1.65222  0.0081
N-SF4           27.38   27.16   1.67780282E+00  2.82849893E-01  1.63539276E+00  1.26793450E-02  6.02038419E-02  1.45760496E+02  1.75513 1.76164  0.0118
N-SF5           32.25   32      1.52481889E+00  1.87085527E-01  1.42729015E+00  1.12547560E-02  5.88995392E-02  1.29141675E+02  1.67271 1.67763  0.0088
N-SF57          23.78   23.59   1.87543831E+00  3.73757490E-01  2.30001797E+00  1.41749518E-02  6.40509927E-02  1.77389795E+02  1.84666 1.85504  0.0178
N-SF57HT        23.78   23.59   1.87543831E+00  3.73757490E-01  2.30001797E+00  1.41749518E-02  6.40509927E-02  1.77389795E+02  1.84666 1.85504  0.0178
N-SF57HTultra   23.78   23.59   1.87543831E+00  3.73757490E-01  2.30001797E+00  1.41749518E-02  6.40509927E-02  1.77389795E+02  1.84666 1.85504  0.0178
N-SF6           25.36   25.16   1.77931763E+00  3.38149866E-01  2.08734474E+00  1.33714182E-02  6.17533621E-02  1.74017590E+02  1.80518 1.81266  0.0146
N-SF66          20.88   20.7    2.02459760E+00  4.70187196E-01  2.59970433E+00  1.47053225E-02  6.92998276E-02  1.61817601E+02  1.92286 1.93322  0.0307
N-SF6HT         25.36   25.16   1.77931763E+00  3.38149866E-01  2.08734474E+00  1.33714182E-02  6.17533621E-02  1.74017590E+02  1.80518 1.81266  0.0146
N-SF6HTultra    25.36   25.16   1.77931763E+00  3.38149866E-01  2.08734474E+00  1.33714182E-02  6.17533621E-02  1.74017590E+02  1.80518 1.81266  0.0146
N-SF8           31.31   31.06   1.55075812E+00  2.09816918E-01  1.46205491E+00  1.14338344E-02  5.82725652E-02  1.33241650E+02  1.68894 1.69413  0.0087
N-SK11          60.8    60.55   1.17963631E+00  2.29817295E-01  9.35789652E-01  6.80282081E-03  2.19737205E-02  1.01513232E+02  1.56384 1.56605  -0.0004
N-SK14          60.6    60.34   9.36155374E-01  5.94052018E-01  1.04374583E+00  4.61716525E-03  1.68859270E-02  1.03736265E+02  1.60311 1.60548  -0.0003
N-SK16          60.32   60.08   1.34317774E+00  2.41144399E-01  9.94317969E-01  7.04687339E-03  2.29005000E-02  9.27508526E+01  1.62041 1.62286  -0.0011
N-SK2           56.65   56.37   1.28189012E+00  2.57738258E-01  9.68186040E-01  7.27191640E-03  2.42823527E-02  1.10377773E+02  1.60738 1.60994  -0.0008
N-SK2HT         56.65   56.37   1.28189012E+00  2.57738258E-01  9.68186040E-01  7.27191640E-03  2.42823527E-02  1.10377773E+02  1.60738 1.60994  -0.0008
N-SK4           58.63   58.37   1.32993741E+00  2.28542996E-01  9.88465211E-01  7.16874107E-03  2.46455892E-02  1.00886364E+02  1.61272 1.61521  -0.0004
N-SK5           61.27   61.02   9.91463823E-01  4.95982121E-01  9.87393925E-01  5.22730467E-03  1.72733646E-02  9.83594579E+01  1.58913 1.59142  -0.0007
N-SSK2          53.27   52.99   1.43060270E+00  1.53150554E-01  1.01390904E+00  8.23982975E-03  3.33736841E-02  1.06870822E+02  1.62229 1.62508  -0.0016
N-SSK5          50.88   50.59   1.59222659E+00  1.03520774E-01  1.05174016E+00  9.20284626E-03  4.23530072E-02  1.06927374E+02  1.65844 1.66152  -0.0007
N-SSK8          49.83   49.54   1.44857867E+00  1.17965926E-01  1.06937528E+00  8.69310149E-03  4.21566593E-02  1.11300666E+02  1.61773 1.62068  0.0002
N-ZK7           61.19   60.98   1.07715032E+00  1.68079109E-01  8.51889892E-01  6.76601657E-03  2.30642817E-02  8.90498778E+01  1.50847 1.51045  -0.0039
P-LAF37         45.66   45.42   1.76003244E+00  2.48286745E-01  1.15935122E+00  9.38006396E-03  3.60537464E-02  8.64324693E+01  1.7555  1.75944  -0.008
P-LAK35         53.2    52.95   1.39324260E+00  4.18882766E-01  1.04380700E+00  7.15959695E-03  2.33637446E-02  8.83284426E+01  1.6935  1.69661  -0.0061
P-LASF47        40.9    40.66   1.85543101E+00  3.15854649E-01  1.28561839E+00  1.00328203E-02  3.87095168E-02  9.45421507E+01  1.8061  1.81078  -0.0079
P-LASF50        40.46   40.22   1.84910553E+00  3.29828674E-01  1.30400901E+00  9.99234757E-03  3.87437988E-02  9.58967681E+01  1.8086  1.81335  -0.0078
P-LASF51        40.93   40.68   1.84568806E+00  3.39001600E-01  1.32418921E+00  9.88495571E-03  3.78097402E-02  9.78415430E+01  1.81    1.8147   -0.008
P-PK53          66.22   65.92   9.60316767E-01  3.40437227E-01  7.77865595E-01  5.31032986E-03  1.75073434E-02  1.06875330E+02  1.5269  1.5288   0.0084
P-SF67          21.4    21.23   1.97464225E+00  4.67095921E-01  2.43154209E+00  1.45772324E-02  6.69790359E-02  1.57444895E+02  1.9068  1.91675  0.0256
P-SF68          21      20.82   2.33300670E+00  4.52961396E-01  1.25172339E+00  1.68838419E-02  7.16086325E-02  1.18707479E+02  2.0052  2.01643  0.0308
P-SF69          29.23   29      1.62594647E+00  2.35927609E-01  1.67434623E+00  1.21696677E-02  6.00710405E-02  1.45651908E+02  1.7225  1.72833  0.0104
P-SF8           31.25   31.01   1.55370411E+00  2.06332561E-01  1.39708831E+00  1.16582670E-02  5.82087757E-02  1.30748028E+02  1.68893 1.69414  0.0079
P-SK57          59.6    59.36   1.31053414E+00  1.69376189E-01  1.10987714E+00  7.40877235E-03  2.54563489E-02  1.07751087E+02  1.587   1.58935  -0.0024
P-SK58A         61.15   60.93   1.31678410E+00  1.71154756E-01  1.12501473E+00  7.20717498E-03  2.45659595E-02  1.02739728E+02  1.58913 1.59143  -0.0023
P-SK60          57.9    57.66   1.40790442E+00  1.43381417E-01  1.16513947E+00  7.84382378E-03  2.87769365E-02  1.05373397E+02  1.61035 1.61286  -0.0037
SF1             29.51   29.29   1.55912923E+00  2.84246288E-01  9.68842926E-01  1.21481001E-02  5.34549042E-02  1.12174809E+02  1.71736 1.7231   0.0042
SF10            28.41   28.19   1.61625977E+00  2.59229334E-01  1.07762317E+00  1.27534559E-02  5.81983954E-02  1.16607680E+02  1.72825 1.7343   0.0085
SF2             33.85   33.6    1.40301821E+00  2.31767504E-01  9.39056586E-01  1.05795466E-02  4.93226978E-02  1.12405955E+02  1.64769 1.65222  0.0017
SF4             27.58   27.37   1.61957826E+00  3.39493189E-01  1.02566931E+00  1.25502104E-02  5.44559822E-02  1.17652222E+02  1.7552  1.76167  0.0062
SF5             32.21   31.97   1.46141885E+00  2.47713019E-01  9.49995832E-01  1.11826126E-02  5.08594669E-02  1.12041888E+02  1.6727  1.67764  0.0023
SF56A           26.08   25.87   1.70579259E+00  3.44223052E-01  1.09601828E+00  1.33874699E-02  5.79561608E-02  1.21616024E+02  1.7847  1.7918   0.0098
SF57            23.83   23.64   1.81651371E+00  4.28893641E-01  1.07186278E+00  1.43704198E-02  5.92801172E-02  1.21419942E+02  1.84666 1.85504  0.0123
SF6             25.43   25.24   1.72448482E+00  3.90104889E-01  1.04572858E+00  1.34871947E-02  5.69318095E-02  1.18557185E+02  1.80518 1.81265  0.0092
SF6HT           25.43   25.24   1.72448482E+00  3.90104889E-01  1.04572858E+00  1.34871947E-02  5.69318095E-02  1.18557185E+02  1.80518 1.81265  0.0092
SF57HTultra     23.83   23.64   1.81651371E+00  4.28893641E-01  1.07186278E+00  1.43704198E-02  5.92801172E-02  1.21419942E+02  1.84666 1.85504  0.0123
P-BK7           64.06   63.87   1.18318503E+00  8.71756426E-02  1.03133701E+00  7.22141956E-03  2.68216805E-02  1.01702362E+02  1.5164  1.51832  -0.0025
P-SK57Q1        59.5    59.26   1.30536483E+00  1.71434328E-01  1.10117219E+00  7.36408831E-03  2.55786047E-02  1.06726060E+02  1.586   1.58835  -0.0024
